148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 153, Time for Update: 0.1474306583404541 , Average Loss: 0.058608584105968475, Accuracy: 0.31
Update 154, Time for Update: 0.15230321884155273 , Average Loss: 0.061923105269670486, Accuracy: 0.29
Update 155, Time for Update: 0.148895263671875 , Average Loss: 0.06242293119430542, Accuracy: 0.32
Update 156, Time for Update: 0.1479015350341797 , Average Loss: 0.14576971530914307, Accuracy: 0.11
Update 157, Time for Update: 0.1480553150177002 , Average Loss: 0.08073242008686066, Accuracy: 0.3
Update 158, Time for Update: 0.15039300918579102 , Average Loss: 0.08454421162605286, Accuracy: 0.18
Update 159, Time for Update: 0.15064501762390137 , Average Loss: 0.09267706423997879, Accuracy: 0.23
Update 160, Time for Update: 0.15184617042541504 , Average Loss: 0.09913095831871033, Accuracy: 0.25
Update 161, Time for Update: 0.14939379692077637 , Average Loss: 0.16403979063034058, Accuracy: 0.13
Update 162, Time for Update: 0.1583399772644043 , Average Loss: 0.1996050775051117, Accuracy: 0.25
Update 163, Time for Update: 0.14901423454284668 , Average Loss: 0.2687305510044098, Accuracy: 0.0
Update 164, Time for Update: 0.15304207801818848 , Average Loss: 0.4097541868686676, Accuracy: 0.16
Update 165, Time for Update: 0.14813780784606934 , Average Loss: 0.2687486410140991, Accuracy: 0.0
Update 166, Time for Update: 0.14476680755615234 , Average Loss: 0.21149058640003204, Accuracy: 0.27
Update 167, Time for Update: 0.1445755958557129 , Average Loss: 0.21532002091407776, Accuracy: 0.0
Update 168, Time for Update: 0.17580389976501465 , Average Loss: 0.11222203075885773, Accuracy: 0.14
Update 169, Time for Update: 0.15120697021484375 , Average Loss: 0.1077161431312561, Accuracy: 0.05
Update 170, Time for Update: 0.15320086479187012 , Average Loss: 0.09693409502506256, Accuracy: 0.23
Update 171, Time for Update: 0.14896941184997559 , Average Loss: 0.09725244343280792, Accuracy: 0.11
